genotype,plotNumber,block,range,row,poundsOfNitrogenPerAcre
SC 49,21325,2,25,29,180
SC 639,21326,2,26,29,180
SC 1439,21327,2,27,29,180
2033Z-3,21401,2,1,30,180
AS 4136 Masaka Luwemba,21402,2,2,30,180
Check,21403,2,3,30,180
BTx623_(XK: fromBIllRooney_TAMU_2024),21404,2,4,30,180
KS 115,21405,2,5,30,180
SAP-158,21406,2,6,30,180
SAP-50,21407,2,7,30,180
IS 7151C,21408,2,8,30,180
Tx2785,21409,2,9,30,180
"R1, 21",21410,2,10,30,180
Karad 2-7-11,21411,2,11,30,180
194 Kano,21412,2,12,30,180
SAP-125,21413,2,13,30,180
Ramada_(XK: fromTomClemente_UNL_2024),21414,2,14,30,180
RED KAFIR,21415,2,15,30,180
COMBINE HEGARI,21416,2,16,30,180
Check,21417,2,17,30,180
SC 1019,21418,2,18,30,180
290 Feterita Shendi 2,21419,2,19,30,180
Check,21420,2,20,30,180
1903 AS 4633,21421,2,21,30,180
KS19,21422,2,22,30,180
Mashica,21423,2,23,30,180
SAP-138,21424,2,24,30,180
PLAINSMAN,21425,2,25,30,180
SC 525,21426,2,26,30,180
Check,21427,2,27,30,180
AS 5826 Holcus,21501,2,1,31,180
Framiola DL/59/1539,21502,2,2,31,180
54.K.94(Witchweed res.),21503,2,3,31,180
Check,21504,2,4,31,180
Black Spanish,21505,2,5,31,180
SPUR FETERITA,21506,2,6,31,180
Check,21507,2,7,31,180
LianTang Ai,21508,2,8,31,180
CAPROCK,21509,2,9,31,180
Check,21510,2,10,31,180
SAP-230,21511,2,11,31,180
ZA41 Danye,21512,2,12,31,180
SAP-171,21513,2,13,31,180
PINK KAFIR,21514,2,14,31,180
A/BTx635,21515,2,15,31,180
Check,21516,2,16,31,180
CE151-262-A1,21517,2,17,31,180
SC 1047,21518,2,18,31,180
Mashila,21519,2,19,31,180
KA 24,21520,2,20,31,180
SO 16,21521,2,21,31,180
SAP-250,21522,2,22,31,180
"No. 25 Gobo, Kaichama Ethiopia",21523,2,23,31,180
SAP-287,21524,2,24,31,180
SC 790,21525,2,25,31,180
SC 386,21526,2,26,31,180
SC 1215,21527,2,27,31,180
No. 5 Gambela,21601,2,1,32,180
KA 12 Janjari,21602,2,2,32,180
"No. 59 Bekedjie, Kembolcha Ethiopia",21603,2,3,32,180
F.R. Miller,21604,2,4,32,180
SAP-172,21605,2,5,32,180
Check,21606,2,6,32,180
SC 59,21607,2,7,32,180
SC 1463,21608,2,8,32,180
Check,21609,2,9,32,180
A-96,21610,2,10,32,180
"R3, 80",21611,2,11,32,180
SO 85,21612,2,12,32,180
BTx640,21613,2,13,32,180
SAP-306,21614,2,14,32,180
90M,21615,2,15,32,180
KANSAS ORANGE,21616,2,16,32,180
SC 1251,21617,2,17,32,180
WRAY_(XK: fromBIllRooney_TAMU_2024),21618,2,18,32,180
HC 6028,21619,2,19,32,180
Check,21620,2,20,32,180
BO 36,21621,2,21,32,180
No. 902 Sorghum arundi,21622,2,22,32,180
Check,21623,2,23,32,180
SAP-398,21624,2,24,32,180
BTx3042,21625,2,25,32,180
IS 2319C,21626,2,26,32,180
A/BTx626,21627,2,27,32,180
IS 18696,30101,3,28,1,180
Dobbs,30102,3,29,1,180
SAP-206,30103,3,30,1,180
Check,30104,3,31,1,180
SAP-341,30105,3,32,1,180
Check,30106,3,33,1,180
QL3(India),30107,3,34,1,180
RTAM428,30108,3,35,1,180
88V1080,30109,3,36,1,180
Wit Lichtenburg DL/59/1530,30110,3,37,1,180
No. 1 Gambela,30111,3,38,1,180
BO 36,30112,3,39,1,180
SAP-342,30113,3,40,1,180
SAP-311,30114,3,41,1,180
Mashica,30115,3,42,1,180
SC 1215,30116,3,43,1,180
Check,30117,3,44,1,180
A/BTx626,30118,3,45,1,180
Tambroro 7,30119,3,46,1,180
KA 15 Yazgar Giwa,30120,3,47,1,180
Check,30121,3,48,1,180
SAP-264,30122,3,49,1,180
TAM2566,30123,3,50,1,180
SAP-135,30124,3,51,1,180
IS 7151C,30125,3,52,1,180
SC 1484,30126,3,53,1,180
Check,30127,3,54,1,180
Check,30201,3,28,2,180
Check,30202,3,29,2,180
18NL048 @-01,30203,3,30,2,180
No. 64 Netch Addesho Ethiopia,30204,3,31,2,180
BOK11,30205,3,32,2,180
Check,30206,3,33,2,180
Check,30207,3,34,2,180
SC 172,30208,3,35,2,180
Dorado,30209,3,36,2,180
AS 4055 N Kambwa,30210,3,37,2,180
HC 6028,30211,3,38,2,180
Mashila,30212,3,39,2,180
SAP-138,30213,3,40,2,180
Jowar Red Jankinagar,30214,3,41,2,180
No. 902 Sorghum arundi,30215,3,42,2,180
SC 639,30216,3,43,2,180
KELLER,30217,3,44,2,180
SC 386,30218,3,45,2,180
Kabutuwa,30219,3,46,2,180
Barking 119,30220,3,47,2,180
SAP-263,30221,3,48,2,180
Black Spanish,30222,3,49,2,180
Check,30223,3,50,2,180
F.R. Miller,30224,3,51,2,180
Check,30225,3,52,2,180
CAPROCK,30226,3,53,2,180
SC 610,30227,3,54,2,180
No. 35 Mab,30301,3,28,3,180
740 Oua Berr,30302,3,29,3,180
"Orange No. l, Baijo",30303,3,30,3,180
Mashica,30304,3,31,3,180
RTx430_(XK: fromBillRooney_TAMU_2024),30305,3,32,3,180
SAP-225,30306,3,33,3,180
R9188,30307,3,34,3,180
Check,30308,3,35,3,180
JOCORO,30309,3,36,3,180
Check,30310,3,37,3,180
Kireniga 317,30311,3,38,3,180
18NL277 @-01,30312,3,39,3,180
Mashica,30313,3,40,3,180
SAP-250,30314,3,41,3,180
"No. 25 Gobo, Kaichama Ethiopia",30315,3,42,3,180
PLAINSMAN,30316,3,43,3,180
SC 1439,30317,3,44,3,180
SC 790,30318,3,45,3,180
EC 21360 G29,30319,3,46,3,180
AS 5826 Holcus,30320,3,47,3,180
KA 12 Janjari,30321,3,48,3,180
SAP-173,30322,3,49,3,180
BTx623_(XK: fromBIllRooney_TAMU_2024),30323,3,50,3,180
SAP-158,30324,3,51,3,180
SC 695,30325,3,52,3,180
WILEY,30326,3,53,3,180
SAP-380,30327,3,54,3,180
Accho Karuho,30401,3,28,4,180
Deburr,30402,3,29,4,180
Jola Nandyal,30403,3,30,4,180
Check,30404,3,31,4,180
Tx2891,30405,3,32,4,180
RTX434,30406,3,33,4,180
SC 968,30407,3,34,4,180
Tortillerio,30408,3,35,4,180
SC 326-6,30409,3,36,4,180
Hamaisi 38,30410,3,37,4,180
Bulfontein White Kafir Corn DL/60/133,30411,3,38,4,180
1903 AS 4633,30412,3,39,4,180
MARTIN,30413,3,40,4,180
SAP-398,30414,3,41,4,180
A 84,30415,3,42,4,180
SC 525,30416,3,43,4,180
Check,30417,3,44,4,180
BTx406,30418,3,45,4,180
Framiola DL/59/1539,30419,3,46,4,180
Check,30420,3,47,4,180
AS 4136 Masaka Luwemba,30421,3,48,4,180
SAP-157,30422,3,49,4,180
SPUR FETERITA,30423,3,50,4,180
SAP-286,30424,3,51,4,180
TX 3197 (COMB KAFIR 60) B LINE,30425,3,52,4,180
Tx2785,30426,3,53,4,180
Check,30427,3,54,4,180
Malwal Aweil,30501,3,28,5,180
T 28,30502,3,29,5,180
Check,30503,3,30,5,180
Ex-Mubi,30504,3,31,5,180
SAP-133,30505,3,32,5,180
SAP-154,30506,3,33,5,180
Ajabsido,30507,3,34,5,180
Check,30508,3,35,5,180
Check,30509,3,36,5,180
SAP-219,30510,3,37,5,180
No. 4 Hadoui,30511,3,38,5,180
290 Feterita Shendi 2,30512,3,39,5,180
SAP-280,30513,3,40,5,180
IS 3515C,30514,3,41,5,180
SAP-287,30515,3,42,5,180
Check,30516,3,43,5,180
SC 1476,30517,3,44,5,180
P-721,30518,3,45,5,180
Tuery 11,30519,3,46,5,180
PL 47,30520,3,47,5,180
2033Z-3,30521,3,48,5,180
Check,30522,3,49,5,180
Tx2741,30523,3,50,5,180
Check,30524,3,51,5,180
TX 378 (REDLAN) B LINE,30525,3,52,5,180
Check,30526,3,53,5,180
SC 59,30527,3,54,5,180
Check,30601,3,28,6,180
"No. 69 Mashela Tinguish, Warakul Ethiopi",30602,3,29,6,180
SAP-275,30603,3,30,6,180
Check,30604,3,31,6,180
WHEATLAND,30605,3,32,6,180
Nkuli Swaziland,30606,3,33,6,180
SC 748-5,30607,3,34,6,180
SUMAC,30608,3,35,6,180
N290B,30609,3,36,6,180
Check,30610,3,37,6,180
Check,30611,3,38,6,180
450 Bori Light Brown,30612,3,39,6,180
Check,30613,3,40,6,180
Check,30614,3,41,6,180
Check,30615,3,42,6,180
SC 49,30616,3,43,6,180
IS 2319C,30617,3,44,6,180
RTx2536,30618,3,45,6,180
54.K.94(Witchweed res.),30619,3,46,6,180
Budy,30620,3,47,6,180
Check,30621,3,48,6,180
Check,30622,3,49,6,180
SAP-336,30623,3,50,6,180
SAN CHI SAN,30624,3,51,6,180
Check,30625,3,52,6,180
LianTang Ai,30626,3,53,6,180
Check,30627,3,54,6,180
AS 2613 NT,30701,3,28,7,180
SAP-148,30702,3,29,7,180
K037 Camjin,30703,3,30,7,180
Check,30704,3,31,7,180
Tx2917,30705,3,32,7,180
Check,30706,3,33,7,180
BTx642,30707,3,34,7,180
Check,30708,3,35,7,180
Check,30709,3,36,7,180
SO 16,30710,3,37,7,180
ZA 71,30711,3,38,7,180
MN 707 (preconverted),30712,3,39,7,180
SAP-134,30713,3,40,7,180
DAY MILO,30714,3,41,7,180
SAP-159,30715,3,42,7,180
SC 947,30716,3,43,7,180
BTx3042,30717,3,44,7,180
Shan Qui Red,30718,3,45,7,180
Feterita Geshaish,30719,3,46,7,180
M 1,30720,3,47,7,180
RED AMBER,30721,3,48,7,180
KS 115,30722,3,49,7,180
TEXAS BLACKHULL KAFIR,30723,3,50,7,180
Check,30724,3,51,7,180
SAP-50,30725,3,52,7,180
SUGAR DRIP,30726,3,53,7,180
SC 1494,30727,3,54,7,180
Check,30801,3,28,8,180
SV 34,30802,3,29,8,180
Brawley,30803,3,30,8,180
SAP-340,30804,3,31,8,180
SAP-128,30805,3,32,8,180
RTX435,30806,3,33,8,180
SOBERANO,30807,3,34,8,180
SC 22,30808,3,35,8,180
SC 1277,30809,3,36,8,180
KA 24,30810,3,37,8,180
Check,30811,3,38,8,180
Sorghum Soroti,30812,3,39,8,180
SAP-162,30813,3,40,8,180
KS19,30814,3,41,8,180
Check,30815,3,42,8,180
SC 621,30816,3,43,8,180
SC 85,30817,3,44,8,180
TX2784,30818,3,45,8,180
"No. 59 Bekedjie, Kembolcha Ethiopia",30819,3,46,8,180
Chanan Singoo,30820,3,47,8,180
No. 5 Gambela,30821,3,48,8,180
MN 708 (preconverted),30822,3,49,8,180
WACONIA,30823,3,50,8,180
SAP-172,30824,3,51,8,180
Check,30825,3,52,8,180
SC 1463,30826,3,53,8,180
KAT83369,30827,3,54,8,180
SAP-404,30901,3,28,9,180
Check,30902,3,29,9,180
Check,30903,3,30,9,180
ICSV 1089BF,30904,3,31,9,180
Check,30905,3,32,9,180
SEPON82,30906,3,33,9,180
SC 1471,30907,3,34,9,180
Check,30908,3,35,9,180
Marupantse,30909,3,36,9,180
"R1,4",30910,3,37,9,180
"R3, 80",30911,3,38,9,180
ZA41 Danye,30912,3,39,9,180
R TX 431,30913,3,40,9,180
Check,30914,3,41,9,180
A/BTxARG-1,30915,3,42,9,180
KANSAS ORANGE,30916,3,43,9,180
DELLA,30917,3,44,9,180
Ramada_(XK: fromTomClemente_UNL_2024),30918,3,45,9,180
Mugbash 56/56,30919,3,46,9,180
Kokla,30920,3,47,9,180
Zera Zera White,30921,3,48,9,180
SAP-168,30922,3,49,9,180
SAP-150,30923,3,50,9,180
SAP-175,30924,3,51,9,180
SC 391,30925,3,52,9,180
M35-1,30926,3,53,9,180
TX 399(DALHART RES WHTLND)B LN,30927,3,54,9,180
RTx436,31001,3,28,10,180
Check,31002,3,29,10,180
Check,31003,3,30,10,180
Town,31004,3,31,10,180
DEER,31005,3,32,10,180
Check,31006,3,33,10,180
COMBINE KAFIR-60,31007,3,34,10,180
Check,31008,3,35,10,180
Check,31009,3,36,10,180
Check,31010,3,37,10,180
Monshal,31011,3,38,10,180
A-96,31012,3,39,10,180
Check,31013,3,40,10,180
SAP-306,31014,3,41,10,180
SAP-325,31015,3,42,10,180
P850029,31016,3,43,10,180
SC 1251,31017,3,44,10,180
SC 332,31018,3,45,10,180
K.3 Perimanjial Irungu Cholam,31019,3,46,10,180
6428 Sian,31020,3,47,10,180
Huria White 621,31021,3,48,10,180
Akwu,31022,3,49,10,180
SAP-139,31023,3,50,10,180
SAP-197,31024,3,51,10,180
BTx615,31025,3,52,10,180
Check,31026,3,53,10,180
SC 1465,31027,3,54,10,180
IS 12661,31101,3,28,11,180
SB-283,31102,3,29,11,180
Bonkum,31103,3,30,11,180
Check,31104,3,31,11,180
Mashica,31105,3,32,11,180
RIO,31106,3,33,11,180
P898012,31107,3,34,11,180
SC 702,31108,3,35,11,180
SC 971,31109,3,36,11,180
EC 18246 (preconverted),31110,3,37,11,180
AS4660 Kikuma,31111,3,38,11,180
EC 21463 STR 5/1,31112,3,39,11,180
BTx640,31113,3,40,11,180
Check,31114,3,41,11,180
Check,31115,3,42,11,180
P9517,31116,3,43,11,180
SC 145,31117,3,44,11,180
Check,31118,3,45,11,180
No. 755 Muzeba,31119,3,46,11,180
"R1,38",31120,3,47,11,180
Nebraska 6350,31121,3,48,11,180
RTx437,31122,3,49,11,180
Marupantse,31123,3,50,11,180
SAP-395,31124,3,51,11,180
REDBINE-60,31125,3,52,11,180
Check,31126,3,53,11,180
BTx623_(XK: fromBillRooney_TAMU_2024),31127,3,54,11,180
MACIA,31201,3,28,12,180
Jonar Tamargundi,31202,3,29,12,180
DWARF YELLOW MILO,31203,3,30,12,180
ICSV 401,31204,3,31,12,180
Check,31205,3,32,12,180
Check,31206,3,33,12,180
96CD635,31207,3,34,12,180
SC 1271,31208,3,35,12,180
Check,31209,3,36,12,180
"No. 65 Amelsie, Kimbolcha Ethiopia",31210,3,37,12,180
AS4616 Balangira-Mwanza,31211,3,38,12,180
SAP-230,31212,3,39,12,180
RED KAFIR,31213,3,40,12,180
WRAY_(XK: fromBIllRooney_TAMU_2024),31214,3,41,12,180
Tx2911,31215,3,42,12,180
ROX ORANGE,31216,3,43,12,180
SC 1426,31217,3,44,12,180
CE151-262-A1,31218,3,45,12,180
IS 18684,31219,3,46,12,180
MN 1592 (preconverted),31220,3,47,12,180
P 3742,31221,3,48,12,180
SAP-149,31222,3,49,12,180
"No. 28 Lyle, Marawa Ethiopia",31223,3,50,12,180
BTx2928,31224,3,51,12,180
SC 1440,31225,3,52,12,180
SC 1424,31226,3,53,12,180
N250B,31227,3,54,12,180
SURENO,31301,3,28,13,180
Butivori,31302,3,29,13,180
ICSV 745,31303,3,30,13,180
SAP-131,31304,3,31,13,180
Segaolane,31305,3,32,13,180
Check,31306,3,33,13,180
Check,31307,3,34,13,180
MR732,31308,3,35,13,180
IS 5590C,31309,3,36,13,180
194 Kano,31310,3,37,13,180
SO 85,31311,3,38,13,180
Jola Nandyal,31312,3,39,13,180
SAP-141,31313,3,40,13,180
SAP-124,31314,3,41,13,180
TX2783,31315,3,42,13,180
COMBINE HEGARI,31316,3,43,13,180
SC 480,31317,3,44,13,180
SC 1019,31318,3,45,13,180
255 Tirter,31319,3,46,13,180
Check,31320,3,47,13,180
Klor,31321,3,48,13,180
Lambas,31322,3,49,13,180
Check,31323,3,50,13,180
Check,31324,3,51,13,180
SC 373,31325,3,52,13,180
60M,31326,3,53,13,180
SC 1489,31327,3,54,13,180
WHITE KAFIR,31401,3,28,14,180
SAP-294,31402,3,29,14,180
Kodilib,31403,3,30,14,180
SAP-166,31404,3,31,14,180
80M,31405,3,32,14,180
Kuyuma,31406,3,33,14,180
IS 8525(J),31407,3,34,14,180
SC 1074,31408,3,35,14,180
Check,31409,3,36,14,180
"R1, 21",31410,3,37,14,180
Check,31411,3,38,14,180
"No. 37 Ubi, Abelti Ethiopia",31412,3,39,14,180
Ramada_(XK: fromTomClemente_UNL_2024),31413,3,40,14,180
PINK KAFIR,31414,3,41,14,180
A/BTx635,31415,3,42,14,180
Check,31416,3,43,14,180
CHILTEX,31417,3,44,14,180
BTx2752,31418,3,45,14,180
Check,31419,3,46,14,180
Check,31420,3,47,14,180
Check,31421,3,48,14,180
Kharuth Waragel,31422,3,49,14,180
EC 21361 G30,31423,3,50,14,180
A-106,31424,3,51,14,180
SC 301,31425,3,52,14,180
SC 1429,31426,3,53,14,180
Check,31427,3,54,14,180
Mashica,31501,3,28,15,180
J.A.T.S. #67,31502,3,29,15,180
Check,31503,3,30,15,180
ICSV 400,31504,3,31,15,180
SAP-386,31505,3,32,15,180
Check,31506,3,33,15,180
SC 1451,31507,3,34,15,180
Check,31508,3,35,15,180
SC 25,31509,3,36,15,180
"Safara, Kordafan",31510,3,37,15,180
Karad 2-7-11,31511,3,38,15,180
Check,31512,3,39,15,180
Rexx,31513,3,40,15,180
SAP-347,31514,3,41,15,180
SAP-171,31515,3,42,15,180
WRAY_(XK: fromBIllRooney_TAMU_2024),31516,3,43,15,180
IS 12623C,31517,3,44,15,180
SC 1047,31518,3,45,15,180
P 3749 Q2/5/62,31519,3,46,15,180
BE 25,31520,3,47,15,180
Culum Brick,31521,3,48,15,180
EC 21428 SB 63,31522,3,49,15,180
SAP-170,31523,3,50,15,180
SAP-312,31524,3,51,15,180
Check,31525,3,52,15,180
STANDARD WHITE MILO,31526,3,53,15,180
SC 1416,31527,3,54,15,180
KA 21 Gajerar Kaura,31601,3,28,16,180
F.C.I. 4201,31602,3,29,16,180
BTx638,31603,3,30,16,180
SAP-137,31604,3,31,16,180
Standard Blackhull Kafir,31605,3,32,16,180
RCV,31606,3,33,16,180
COMBINE 7078,31607,3,34,16,180
SC 170-6-17,31608,3,35,16,180
SC 498,31609,3,36,16,180
"R4, B1",31610,3,37,16,180
Msumbji SB 117,31611,3,38,16,180
Cholia Talijhari,31612,3,39,16,180
90M,31613,3,40,16,180
SAP-125,31614,3,41,16,180
RTX433,31615,3,42,16,180
Check,31616,3,43,16,180
Check,31617,3,44,16,180
Pinolero 1,31618,3,45,16,180
Sinidyil 177,31619,3,46,16,180
BA45 Faria Bonkum,31620,3,47,16,180
Maja Abiad Q2/2/68,31621,3,48,16,180
Chari Uri,31622,3,49,16,180
SAP-151,31623,3,50,16,180
SAP-323,31624,3,51,16,180
RTx2910,31625,3,52,16,180
Check,31626,3,53,16,180
QL3-TEXAS,31627,3,54,16,180
AS4616 Balangira-Mwanza,40101,4,28,17,100
Jola Nandyal,40102,4,29,17,100
AS4660 Kikuma,40103,4,30,17,100
Check,40104,4,31,17,100
SAP-306,40105,4,32,17,100
TX2783,40106,4,33,17,100
COMBINE HEGARI,40107,4,34,17,100
Check,40108,4,35,17,100
CHILTEX,40109,4,36,17,100
Check,40110,4,37,17,100
Check,40111,4,38,17,100
"R1,38",40112,4,39,17,100
SAP-150,40113,4,40,17,100
SAP-149,40114,4,41,17,100
EC 21361 G30,40115,4,42,17,100
60M,40116,4,43,17,100
Check,40117,4,44,17,100
SC 373,40118,4,45,17,100
SB-283,40119,4,46,17,100
KA 21 Gajerar Kaura,40120,4,47,17,100
MACIA,40121,4,48,17,100
RIO,40122,4,49,17,100
80M,40123,4,50,17,100
Check,40124,4,51,17,100
IS 8525(J),40125,4,52,17,100
SC 1074,40126,4,53,17,100
Marupantse,40127,4,54,17,100
"Safara, Kordafan",40201,4,28,18,100
ZA41 Danye,40202,4,29,18,100
"No. 37 Ubi, Abelti Ethiopia",40203,4,30,18,100
A/BTxARG-1,40204,4,31,18,100
Check,40205,4,32,18,100
RED KAFIR,40206,4,33,18,100
P9517,40207,4,34,18,100
SC 332,40208,4,35,18,100
SC 480,40209,4,36,18,100
Kokla,40210,4,37,18,100
Check,40211,4,38,18,100
P 3749 Q2/5/62,40212,4,39,18,100
Akwu,40213,4,40,18,100
SAP-395,40214,4,41,18,100
Chari Uri,40215,4,42,18,100
BTx615,40216,4,43,18,100
Check,40217,4,44,18,100
SC 391,40218,4,45,18,100
ICSV 745,40219,4,46,18,100
Check,40220,4,47,18,100
J.A.T.S. #67,40221,4,48,18,100
Standard Blackhull Kafir,40222,4,49,18,100
DEER,40223,4,50,18,100
Check,40224,4,51,18,100
IS 5590C,40225,4,52,18,100
SC 971,40226,4,53,18,100
SC 1471,40227,4,54,18,100
EC 21463 STR 5/1,40301,4,28,19,100
"No. 65 Amelsie, Kimbolcha Ethiopia",40302,4,29,19,100
Check,40303,4,30,19,100
R TX 431,40304,4,31,19,100
Ramada_(XK: fromTomClemente_UNL_2024),40305,4,32,19,100
Check,40306,4,33,19,100
Check,40307,4,34,19,100
CE151-262-A1,40308,4,35,19,100
KANSAS ORANGE,40309,4,36,19,100
Mugbash 56/56,40310,4,37,19,100
Sinidyil 177,40311,4,38,19,100
No. 755 Muzeba,40312,4,39,19,100
Marupantse,40313,4,40,19,100
SAP-323,40314,4,41,19,100
BTx2928,40315,4,42,19,100
BTx623_(XK: fromBillRooney_TAMU_2024),40316,4,43,19,100
RTx2910,40317,4,44,19,100
TX 399(DALHART RES WHTLND)B LN,40318,4,45,19,100
DWARF YELLOW MILO,40319,4,46,19,100
SAP-294,40320,4,47,19,100
Bonkum,40321,4,48,19,100
Check,40322,4,49,19,100
Check,40323,4,50,19,100
SAP-131,40324,4,51,19,100
Check,40325,4,52,19,100
SC 25,40326,4,53,19,100
Check,40327,4,54,19,100
Msumbji SB 117,40401,4,28,20,100
SO 85,40402,4,29,20,100
Check,40403,4,30,20,100
PINK KAFIR,40404,4,31,20,100
SAP-141,40405,4,32,20,100
SAP-347,40406,4,33,20,100
Check,40407,4,34,20,100
P850029,40408,4,35,20,100
DELLA,40409,4,36,20,100
MN 1592 (preconverted),40410,4,37,20,100
K.3 Perimanjial Irungu Cholam,40411,4,38,20,100
Check,40412,4,39,20,100
SAP-175,40413,4,40,20,100
EC 21428 SB 63,40414,4,41,20,100
RTx437,40415,4,42,20,100
N250B,40416,4,43,20,100
SC 1424,40417,4,44,20,100
STANDARD WHITE MILO,40418,4,45,20,100
IS 12661,40419,4,46,20,100
SAP-404,40420,4,47,20,100
WHITE KAFIR,40421,4,48,20,100
SAP-386,40422,4,49,20,100
RCV,40423,4,50,20,100
ICSV 400,40424,4,51,20,100
Check,40425,4,52,20,100
SC 702,40426,4,53,20,100
P898012,40427,4,54,20,100
Monshal,40501,4,28,21,100
"R1,4",40502,4,29,21,100
Cholia Talijhari,40503,4,30,21,100
BTx640,40504,4,31,21,100
SAP-171,40505,4,32,21,100
90M,40506,4,33,21,100
SC 1019,40507,4,34,21,100
ROX ORANGE,40508,4,35,21,100
SC 145,40509,4,36,21,100
P 3742,40510,4,37,21,100
Culum Brick,40511,4,38,21,100
BA45 Faria Bonkum,40512,4,39,21,100
A-106,40513,4,40,21,100
"No. 28 Lyle, Marawa Ethiopia",40514,4,41,21,100
Check,40515,4,42,21,100
Check,40516,4,43,21,100
Check,40517,4,44,21,100
SC 301,40518,4,45,21,100
Check,40519,4,46,21,100
Butivori,40520,4,47,21,100
Kodilib,40521,4,48,21,100
Check,40522,4,49,21,100
ICSV 401,40523,4,50,21,100
Check,40524,4,51,21,100
96CD635,40525,4,52,21,100
SC 498,40526,4,53,21,100
Check,40527,4,54,21,100
"R4, B1",40601,4,28,22,100
Karad 2-7-11,40602,4,29,22,100
Check,40603,4,30,22,100
A/BTx635,40604,4,31,22,100
Check,40605,4,32,22,100
WRAY_(XK: fromBIllRooney_TAMU_2024),40606,4,33,22,100
Ramada_(XK: fromTomClemente_UNL_2024),40607,4,34,22,100
Check,40608,4,35,22,100
BTx2752,40609,4,36,22,100
Maja Abiad Q2/2/68,40610,4,37,22,100
IS 18684,40611,4,38,22,100
Zera Zera White,40612,4,39,22,100
SAP-170,40613,4,40,22,100
SAP-168,40614,4,41,22,100
Check,40615,4,42,22,100
SC 1465,40616,4,43,22,100
Check,40617,4,44,22,100
REDBINE-60,40618,4,45,22,100
BTx638,40619,4,46,22,100
Mashica,40620,4,47,22,100
Check,40621,4,48,22,100
Check,40622,4,49,22,100
SEPON82,40623,4,50,22,100
Mashica,40624,4,51,22,100
MR732,40625,4,52,22,100
Check,40626,4,53,22,100
COMBINE KAFIR-60,40627,4,54,22,100
194 Kano,40701,4,28,23,100
EC 18246 (preconverted),40702,4,29,23,100
SAP-230,40703,4,30,23,100
SAP-325,40704,4,31,23,100
RTX433,40705,4,32,23,100
Rexx,40706,4,33,23,100
WRAY_(XK: fromBIllRooney_TAMU_2024),40707,4,34,23,100
SC 1426,40708,4,35,23,100
SC 1047,40709,4,36,23,100
Klor,40710,4,37,23,100
Huria White 621,40711,4,38,23,100
BE 25,40712,4,39,23,100
SAP-151,40713,4,40,23,100
SAP-197,40714,4,41,23,100
Kharuth Waragel,40715,4,42,23,100
SC 1429,40716,4,43,23,100
SC 1489,40717,4,44,23,100
QL3-TEXAS,40718,4,45,23,100
SURENO,40719,4,46,23,100
F.C.I. 4201,40720,4,47,23,100
RTx436,40721,4,48,23,100
ICSV 1089BF,40722,4,49,23,100
Segaolane,40723,4,50,23,100
Kuyuma,40724,4,51,23,100
Check,40725,4,52,23,100
SC 170-6-17,40726,4,53,23,100
SC 1451,40727,4,54,23,100
"R1, 21",40801,4,28,24,100
"R3, 80",40802,4,29,24,100
A-96,40803,4,30,24,100
SAP-125,40804,4,31,24,100
Tx2911,40805,4,32,24,100
SAP-124,40806,4,33,24,100
SC 1251,40807,4,34,24,100
Pinolero 1,40808,4,35,24,100
IS 12623C,40809,4,36,24,100
255 Tirter,40810,4,37,24,100
6428 Sian,40811,4,38,24,100
Nebraska 6350,40812,4,39,24,100
SAP-139,40813,4,40,24,100
Lambas,40814,4,41,24,100
SAP-312,40815,4,42,24,100
M35-1,40816,4,43,24,100
SC 1440,40817,4,44,24,100
SC 1416,40818,4,45,24,100
Check,40819,4,46,24,100
Check,40820,4,47,24,100
Jonar Tamargundi,40821,4,48,24,100
Town,40822,4,49,24,100
SAP-166,40823,4,50,24,100
SAP-137,40824,4,51,24,100
SC 1271,40825,4,52,24,100
Check,40826,4,53,24,100
COMBINE 7078,40827,4,54,24,100
SAP-219,40901,4,28,25,100
HC 6028,40902,4,29,25,100
Check,40903,4,30,25,100
SAP-287,40904,4,31,25,100
Check,40905,4,32,25,100
Mashica,40906,4,33,25,100
PLAINSMAN,40907,4,34,25,100
Shan Qui Red,40908,4,35,25,100
Check,40909,4,36,25,100
SAP-275,40910,4,37,25,100
18NL048 @-01,40911,4,38,25,100
SV 34,40912,4,39,25,100
Check,40913,4,40,25,100
SAP-225,40914,4,41,25,100
RTX435,40915,4,42,25,100
Ajabsido,40916,4,43,25,100
SC 326-6,40917,4,44,25,100
Dorado,40918,4,45,25,100
2033Z-3,40919,4,46,25,100
EC 21360 G29,40920,4,47,25,100
KA 15 Yazgar Giwa,40921,4,48,25,100
SAP-135,40922,4,49,25,100
MN 708 (preconverted),40923,4,50,25,100
SAP-264,40924,4,51,25,100
SC 610,40925,4,52,25,100
TX 378 (REDLAN) B LINE,40926,4,53,25,100
Check,40927,4,54,25,100
290 Feterita Shendi 2,41001,4,28,26,100
450 Bori Light Brown,41002,4,29,26,100
Check,41003,4,30,26,100
SAP-138,41004,4,31,26,100
Check,41005,4,32,26,100
Jowar Red Jankinagar,41006,4,33,26,100
Check,41007,4,34,26,100
IS 2319C,41008,4,35,26,100
RTx2536,41009,4,36,26,100
Check,41010,4,37,26,100
Malwal Aweil,41011,4,38,26,100
Dobbs,41012,4,39,26,100
Check,41013,4,40,26,100
Tx2917,41014,4,41,26,100
SAP-128,41015,4,42,26,100
Check,41016,4,43,26,100
